translation,Region,Province,Comune
Ma la to nona va la fa mia la polenta töte le setemane? ,Lombardia,Brescia,Borgosatollo
Ma la òsa nona 'l ve la fà miga la polenta töte li setimane?,Lombardia,Brescia,Borno
ma vostra nona la ve la fa mia la polenta tote le setimane?,Lombardia,Brescia,Bovezzo
Ma la vosa nòna ve fa mia la polenta töte le sitimane?,Lombardia,Brescia,Brescia
Ma vosta nona la va fa miga la polenta toeute le settimane?,Lombardia,Brescia,Brescia
Ma a otér la nona va fa mia la polenta a la duminica?,Lombardia,Brescia,Brescia
La hoa nona la ve fà mia la polenta tute le setimane? ,Lombardia,Brescia,Brescia
ma la vecia fa la pulente ogni smana?,Lombardia,Brescia,Brescia
Ostó nono ve la fa mió la pulento tode le setimane,Lombardia,Brescia,Brescia
Ma la vostra nona la fa mia la polenta tote le settimane?,Lombardia,Brescia,Brescia
Ma Tu nona no te fa la polenta tot la semana,Lombardia,Brescia,Brescia
Ma la voter nöna la fa mia la polenta tutte le settimane ,Lombardia,Brescia,Brescia
mi nonna mica fa la polenta tota la settimana ,Lombardia,Brescia,Brescia
ma ostra nona va fa mia la pulenta töte le setimane,Lombardia,Brescia,Brescia
...,Lombardia,Brescia,Brescia
Voter nona la fa la polenta tote le setimane?,Lombardia,Brescia,Brescia
Ma tua nonna micha ti fa la polenta tutt' le settemana?,Lombardia,Brescia,Brescia
Ma la vostra nona ve la fa la polenta tute le setimane?,Lombardia,Brescia,Cividate Camuno
"Ma la òstå nonå, va falå miå la pulentå töte le setimane?",Lombardia,Brescia,Cologne
To nona ta fala mea pulenta töte i semane? ,Lombardia,Brescia,Corteno Golgi
Boh,Lombardia,Brescia,Desenzano del Garda
Ma 'ótrå nónå va la fa miå la pulentå töte le setemane?,Lombardia,Brescia,Fiesse
To Nona non ve fa la polenta tot le settimane ,Lombardia,Brescia,Gardone Riviera
Ostra nonó la fa mia la polento tüte le setemane?,Lombardia,Brescia,Ghedi
Ma osta nona fala mia la polenta töte le setemane? ,Lombardia,Brescia,Gottolengo
ma la otra nona l'fa mia la polenta totch le setimane?,Lombardia,Brescia,Iseo
Ma la tó nona la ta prepara mia la pulenta tute le setimane?,Lombardia,Brescia,Leno
"Ma la osta nona, la prepara mia la polenta al disnà dela duminica ?",Lombardia,Brescia,Mairano
Ma la vosta nona va la fa mia la polenta toeute le setemane? ,Lombardia,Brescia,Mazzano
Ma la tö nona la fa mia la polenta töte le setimane?,Lombardia,Brescia,Mazzano
Ma vostra nöna ve la fa mia la polenta tote le setemane?,Lombardia,Brescia,Montichiari
Ma to nonna ta fa mia la polento tot le settimane?,Lombardia,Brescia,Offlaga
Ma la vòsta nona va la fa' mia la polenta töte le setemane?,Lombardia,Brescia,Padenghe sul Garda
Vostra nonä ga la fa miä la pulentä tode le setimane,Lombardia,Brescia,Paderno Franciacorta
"Ma, fala miga faf la polenta töte le hatamane la oha nona?",Lombardia,Brescia,Paspardo
La osta nona va fala mia la polenta tote le setimane?,Lombardia,Brescia,Pavone del Mella
Ma vostra nöna non ve la fá la poenta töte le setimane?,Lombardia,Brescia,Prevalle
Ma la osta nona va la fa mìa la pulenta töte le setimàne? ,Lombardia,Brescia,Rovato
Ma la vosa nona ve fala mia la polenta töte le setemane?,Lombardia,Brescia,Sabbio Chiese
Ma ostå nonå va falå miå la polentå töte le setemane?,Lombardia,Brescia,San Paolo
ma la votra nona ve la fa mia la pulentantode le setemane,Lombardia,Brescia,Sellero
Ma la v' la fa mìa töte le setemane la polenta la vòsa nona?,Lombardia,Brescia,Vestone
non lo so fare,Lombardia,Como,Albese con Cassano
Ma vostra nonna la fa la polenta tutte le settimane,Lombardia,Como,Cadorago
Vostra nonna non cucina la polenta tutte le settimane?,Lombardia,Como,Cantù
la vostra nona nun ga fa la pulenta tute le setimane? ,Lombardia,Como,Cantù
Ma la vostra nona al va fa minga la pulenta tüti i setiman ?,Lombardia,Como,Capiago Intimiano
??,Lombardia,Como,Cernobbio
Ma la tua nona ta la fa mia la polenta tuti setiman?,Lombardia,Como,Como
La vostra vecia la fa la minga la pulenda tucc le setimane,Lombardia,Como,Como
bho ma chi cazz lo sa scrivere scusate,Lombardia,Como,Como
Ma la vostar nona l'va fa la pulenta tuci i setiman?,Lombardia,Como,Como
la tò nona l'è mìa dré fà la polenta tode le seimane? ,Lombardia,Como,Como
Ma la nonna fa mia la pulenta tuc i seman?,Lombardia,Como,Como
Ma la vostra nonna ve la fa minga la polenta tucc i settiman?,Lombardia,Como,Como
 non so,Lombardia,Como,Como
La to nuna la ta fa la polenta tuci i setiman,Lombardia,Como,Como
Ma la vossa nona ve la fa minga la pulenta tut i stemani?,Lombardia,Como,Como
"Ma la vossa nona (o ""ava"") la fa mia sü la pulenta tüt i seteman?",Lombardia,Como,Dongo
Ma la vosa nona la fa minga la polenta tucc i setiman?,Lombardia,Como,Dongo
bo,Lombardia,Como,Erba
Ma la vostra nona va la fa mia la pulenta tuti i setimana,Lombardia,Como,Erba
Ma vostra nona a ve fa mia la polenta tutte le settimane,Lombardia,Como,Rodero
Ma vostra nona non ve fa la polenta dute le stemane,Lombardia,Como,Rovellasca
non lo so ,Lombardia,Como,Tavernerio
ma vostra nona ve fa mia la pulenta töti le stemani?,Lombardia,Cremona,Casalbuttano ed Uniti
Ma voostra nona ve faala miia la puleenta tuti li stemaani?,Lombardia,Cremona,Cingia de' Botti
Ma voostra nona ve la faala miia la puleenta toti li stemaani,Lombardia,Cremona,Cingia de' Botti
La vostra nona la fa no la pulenta tuc i steman?,Lombardia,Cremona,Crema
Ma la nona da votre la fa mia la pulenta töte le stamane?,Lombardia,Cremona,Crema
non lo so,Lombardia,Cremona,Crema
Ma to nòna at ta fa mia la pulenta töti le stimani?,Lombardia,Cremona,Cremona
-,Lombardia,Cremona,Cremona
"Ma la vostra nòna, la fa mia la pulenta tòchi li s'mani? ",Lombardia,Cremona,Gussola
Ve la fa miga la pülènta tute le semane la nüna?,Lombardia,Cremona,Offanengo
Ma vostra nona la fa mia la pulenta tute le stemane?,Lombardia,Cremona,Pizzighettone
to nona la fa mia la pulenta tüte le stamane?,Lombardia,Cremona,Ripalta Cremasca
Ma la vosta nona ve fa-la mìa la polenta tœte le setemane ?,Lombardia,Cremona,Romanengo
Ma la vostra nona ve fala mia la pulenta toti li stemani? ,Lombardia,Cremona,Sospiro
Non so tradurla ma se me lo dicono in dialetto lo capisco ,Lombardia,Lecco,Abbadia Lariana
Ma la vostra nona ve la fa mia la pulenta tutt i setiman ,Lombardia,Lecco,Abbadia Lariana
Ma la vósta mangranda el ve le fa mia la pulenta töcc i setimancc,Lombardia,Lecco,Casatenovo
Ma vustra nonna nun ve la fa minga la pulenta tutte le seman?,Lombardia,Lecco,Casatenovo
Ma tua nona non Ve fa la pülenta toch le settimane?,Lombardia,Lecco,Colico
Ma la cos n,Lombardia,Lecco,Colico
Ma vostra nonna la minga fa so la polenta tutte le settimane,Lombardia,Lecco,Costa Masnaga
Ma vustra nonna non ve fa la polenta tuch le setmane? ,Lombardia,Lecco,Dervio
Ma la vos nona la ve fa mia la polenta tutsch I semantic?,Lombardia,Lecco,Lecco
Ma la vostra nona la fa mia la polenta tucc i setiman?,Lombardia,Lecco,Lecco
ma tu nonna no ve fa a polenta tot le setmane?,Lombardia,Lecco,Merate
Ma la vostra non c'è fa mia la polenta toti i setiman,Lombardia,Lecco,Valmadrera
Ma la vostra nona Ve la fa no la pulenta tute le stemane?,Lombardia,Lodi,Bertonico
Ma vosta nona la ve fa la pulenta tutti i di,Lombardia,Lodi,Casaletto Lodigiano
ma la to nona la fa no la pulenta tut ie setimane ,Lombardia,Lodi,Casalpusterlengo
Ma tö nona t'la fa no la pulenta tuti i sesmani?,Lombardia,Lodi,Corno Giovine
Non lk so,Lombardia,Lodi,Guardamiglio
Ma to nona ve la fa no la pulenta tute le stemane? ,Lombardia,Lodi,Lodi
La vostra nona la ve fa' no la pülente tute le stemane? ,Lombardia,Lodi,Lodi
Ma la vöstra nona nun v'la fa pü la pulenta tüte le smane,Lombardia,Lodi,Lodi
Ma la voster nona v'la fa mia la polenta tucch i seman?,Lombardia,Lodi,Lodi
ma vos nona nun ve fa la polenta tut le stemane,Lombardia,Lodi,Lodi
Ma tu nona te fa no la polenta tute le semane?,Lombardia,Lodi,Lodi
Ma la votra nina Ve la fa mia la pulenta tote le semane?,Lombardia,Mantova,Castiglione delle Stiviere
Ma la vostra nona ve fala mia la pulenta tœte le stimane?,Lombardia,Mantova,Ceresara
Ma to nona at fa mia la pulenta tute le smane?,Lombardia,Mantova,Mantova
Ma to nona la fa mia la pulenta tute le semane?,Lombardia,Mantova,Mantova
Ma vostra nóna non ve la fa la poenta tüte e smane ,Lombardia,Mantova,Mantova
Ma vostra nona n've fa la pulenta tute le smane,Lombardia,Mantova,Mantova
Ma vostra nona an vla fa mia la pulenta tuti li smani,Lombardia,Mantova,Ostiglia
Ma vostra nona an v'la fa mia la polenta tuti lo smani?,Lombardia,Mantova,Ostiglia
Ma vuatar nona la fa mia la pulenta tüti li smani?,Lombardia,Mantova,Pegognaga
Ma vòsa nòna ve fala la pulenta töti li stimani?,Lombardia,Mantova,Rodigo
Ostra nona non ve a fa a polenta oni setimana?,Lombardia,Mantova,Roverbella
Ma vostra nona te fala mia la polenta tute le setimane?,Lombardia,Mantova,Roverbella
Ma to nona te fala mia la polenta tute le setimane?,Lombardia,Mantova,Roverbella
Ma to nona non ve le fala mia la polenta tutte le stimane?,Lombardia,Mantova,Roverbella
Ma to nona no te fala mia la polenta tutte le setimane?,Lombardia,Mantova,Roverbella
Ma to Nona te la gala la polenta tute le settimane?,Lombardia,Mantova,Roverbella
Ma 'ostra nona no ve fàla mia la polenta tute le stimane?,Lombardia,Mantova,Roverbella
Ma to nona te fa la mia la pulenta al men na olta a semana?,Lombardia,Mantova,Roverbella
Ma to nona te fala mia la pulenta na olta ala setemana ,Lombardia,Mantova,Roverbella
"ma a nonn, n'n v'a f'c a pulend tutt i settimn",Lombardia,Mantova,Suzzara
Ma la to nona la fa no la pulenta tüt i dì?,Lombardia,Milano,Arese
Ma la vostar nona la va la fa no la polenta tuç le setiman?,Lombardia,Milano,Boffalora sopra Ticino
Ma la vostra nonna ve fa la pulenta tutti i settiman?,Lombardia,Milano,Bollate
"Ta nona , fa no minga la polenta tuch I settiman"" ?",Lombardia,Milano,Bollate
Ma to non la fas la polenta touch la settiman,Lombardia,Milano,Bollate
Ma la vòstra mamagranda va la fa nò la pulénta tüt i semànn?,Lombardia,Milano,Bussero
Asculta to nona ta fa la pulenta tuti i setimani? ,Lombardia,Milano,Bussero
la vostra nona ve la fa no la pulenta tut i setiman,Lombardia,Milano,Bussero
Ma la vostra mamagranda la ve fa minga la polenta tute i semane?,Lombardia,Milano,Bussero
Ma la vostra nona la ve fa minga la polenta tute i semane?,Lombardia,Milano,Bussero
Ma vosta nona ve la fa no la pulenta tuti i stiman,Lombardia,Milano,Bussero
Ma la vostra nona ve la fa minga la pulenta tutt i setiman?,Lombardia,Milano,Carugate
Ma la vostra nona non la fa minfa tot le settimane la polenta,Lombardia,Milano,Casorezzo
"Ma la vostro nona , Ve la fa la polenta tuti i setiman?",Lombardia,Milano,Cassina de' Pecchi
ma la vuestra nona ul ve fa mia la pulenta tute le seman? ,Lombardia,Milano,Cesate
ma vostra nona non te fa la pulenta œgni settimana,Lombardia,Milano,Cesate
non so ,Lombardia,Milano,Cesate
“Ma vostra nonna non ve la fa la polenta tutte le settimane?”,Lombardia,Milano,Cinisello Balsamo
Ma la vostra nona va la fa minga la pulenta tut i setiman?,Lombardia,Milano,Cinisello Balsamo
Ma la vostra nonna la fa mìa la polenta tüt i setiman?,Lombardia,Milano,Corbetta
Ma vosta nona ve fa minga la polenta tute le semane?,Lombardia,Milano,Cormano
"Scusa nè, ma vosta nona ve la fà minga la polenta tutt i setiman?",Lombardia,Milano,Cusano Milanino
Ma vostra nonna non ve la fa la polenta tutte le settimane?”,Lombardia,Milano,Cusano Milanino
Ma la vuestra nona al ve la fa no/minga la polenta tucch i setiman?,Lombardia,Milano,Garbagnate Milanese
Ma vostra nona va la fa mai la pulenta tut i setiman?,Lombardia,Milano,Gorgonzola
Ma la vostra nona va fa minga la polenta tüc i setiman?,Lombardia,Milano,Gorgonzola
Vostra nona va fa minga la pulenta tuc i setiman?,Lombardia,Milano,Gorgonzola
Ma la nona de vi alter la va fa mia la pulenta tucc i seman?,Lombardia,Milano,Gorgonzola
la vostra nona la fa minga la polenta tute le setimane ?,Lombardia,Milano,Gorgonzola
La vosta mama-granda ve fa la polenta tute i semane ?,Lombardia,Milano,Gorgonzola
Ma la vostra nona la ve fà no la polenta tut i setiman?,Lombardia,Milano,Grezzago
Ma la vostra nona la va fò la pulenta tücc i sitiman?,Lombardia,Milano,Inveruno
La voster nona la fa minga la polenta tütt le setimane?,Lombardia,Milano,Legnano
ma la tu nonna non ve fa la pulenta tutch i setiman,Lombardia,Milano,Locate di Triulzi
Non lo so ,Lombardia,Milano,Melegnano
Ma la vostra nona va fa minga la pulenta tüt i setiman?,Lombardia,Milano,Melzo
Ma to nona no la te la fa la polenta tute le setimane?,Lombardia,Milano,Milano
Te ghe fa minga la polenta la tua nonna tuc i seman ,Lombardia,Milano,Milano
To nóna no a te fa mina ea poenta tute e setimane?,Lombardia,Milano,Milano
Ma vostra nona ve la fa mia la pùlenta töte le stemane?,Lombardia,Milano,Milano
Ma la nonna te la fa minga la pulenta in de la settimana ,Lombardia,Milano,Milano
Ma la vostra nona la ve fa minga la polenta tucc i setiman?,Lombardia,Milano,Milano
Ma to nona te fa mia la polènta töte i setimàne?,Lombardia,Milano,Milano
Ma la vostra nona la ve fa minga la polenta tute i setimane?,Lombardia,Milano,Milano
Ma cosa nona av fa no la polenta tüti i sman?,Lombardia,Milano,Milano
Ma la vosta nona la ve fa no la polenta tut i setimann?,Lombardia,Milano,Milano
Ma la vostra nona la fa minga la polenta tut i setiman?,Lombardia,Milano,Milano
A vossa nonna ve fa mia a pulaeinta tutte e setimene,Lombardia,Milano,Milano
Ma la vòstra nòna la ve fa mai la polenta tutt'i semann?,Lombardia,Milano,Milano
La tu non te la fa minga la pulenta,Lombardia,Milano,Milano
Te la fa mia la tua nòna la polenta tutte le settimane? ,Lombardia,Milano,Milano
Ma la vostra nona Ve la fa no la pulenta tuti i setiman?,Lombardia,Milano,Milano
Vosthra nanna nun va fici a pulenta tutti i settimani,Lombardia,Milano,Milano
Non ne ho idea ,Lombardia,Milano,Milano
Ma nononv nan v la fasc la polend tutt l sttman?,Lombardia,Milano,Milano
bho,Lombardia,Milano,Milano
Ma la vostra nonna 'l fa minga la polenta t'una settimana?,Lombardia,Milano,Milano
non so dirlo ,Lombardia,Milano,Milano
nonnt nun t fac a polent tutt e settiman,Lombardia,Milano,Milano
non lo so,Lombardia,Milano,Milano
Ma nonnt nun t'a fa a polenta tutt e settiman?,Lombardia,Milano,Milano
ma nonnata nu te face la polenta ogne semana? ,Lombardia,Milano,Milano
?,Lombardia,Milano,Milano
non so fare ,Lombardia,Milano,Milano
Ma la vostra nonna non ve fa la polenta tutt i settiman?,Lombardia,Milano,Milano
Non lo so,Lombardia,Milano,Milano
. ,Lombardia,Milano,Milano
ma la vostra vecha non ve la fa la polenta tutte le semane?,Lombardia,Milano,Milano
.,Lombardia,Milano,Milano
...,Lombardia,Milano,Milano
Ta nonna un ta fa a polenta tutti i simani?,Lombardia,Milano,Milano
ma tu nona nte ghe fa la puenta tuta la semana?,Lombardia,Milano,Milano
Ma la nona ve fa minga la pulenta tuti i setiman?,Lombardia,Milano,Milano
Ma la vostra nona te la fa miga la pulenta tuti li setimani?,Lombardia,Milano,Milano
Ma la vosa nòna ve la fa miga la pulènta tüti lo setimani?,Lombardia,Milano,Milano
Ma la vostra nona ve la fa minga la pulenta tütt i setiman,Lombardia,Milano,Novate Milanese
La nona la fa minga la pulenta tutti i di ,Lombardia,Milano,Paderno Dugnano
Ma la vosta nona non ghe la fa la polenta tuti i settinan,Lombardia,Milano,Paderno Dugnano
Non saprei ,Lombardia,Milano,Paderno Dugnano
Vostra nonna a fa a pulenta tutte e seimane0 ,Lombardia,Milano,Paderno Dugnano
Ma la vostra nona va la fa no la polenta tücc i setiman?,Lombardia,Milano,Pregnana Milanese
"Ma la nona de violtar, non ve la fa la polenta tucc i setiman?",Lombardia,Milano,Pregnana Milanese
Ma la nòna di vólter la ve fà nó la pulénta töcc i setimàn?,Lombardia,Milano,Robecchetto con Induno
ma vëstra nona ve fa no la polenta tode le smane?,Lombardia,Milano,San Colombano al Lambro
Non lo so,Lombardia,Milano,Sedriano
 --,Lombardia,Milano,Sesto San Giovanni
Ma la vostra nona va la fa no la pulenta tüt i setiman?,Lombardia,Milano,Trezzano Rosa
Vostra nona la va fa menga la pulenta tuti i setiman?,Lombardia,Milano,Trezzo sull'Adda
Ma la nóna la fa mìa la pulènta töch i semane?,Lombardia,Milano,Trezzo sull'Adda
Ma la vostra nona ve fa la polenta tuti i setiman ,Lombardia,Milano,Trezzo sull'Adda
ma tua nona la fa menga la pulenta tutti i setiman ?,Lombardia,Milano,Trezzo sull'Adda
Ma la nona va fa la pulenta toute le setimane? ,Lombardia,Milano,Vimodrone
Non saprei,Lombardia,Monza e della Brianza,Arcore
Vostra nonna an fa mia la pulenta tuch i seman?,Lombardia,Monza e della Brianza,Bellusco
Ma la vosta nona vla fa la pulenta tut i setimani?,Lombardia,Monza e della Brianza,Besana in Brianza
Ma nonna u vva fa a polenta tutti i domani?,Lombardia,Monza e della Brianza,Caponago
ma ,Lombardia,Monza e della Brianza,Ceriano Laghetto
La vostra nona la fa la polenta tute le setiman,Lombardia,Monza e della Brianza,Concorezzo
Vostra nonna la fa no la polenta Tuc i settimana?,Lombardia,Monza e della Brianza,Concorezzo
La tu nonna la fa minga la polenta tuc i setiman?,Lombardia,Monza e della Brianza,Concorezzo
Ma vostra nona fa minga la polenta tuc le setimane?,Lombardia,Monza e della Brianza,Concorezzo
ma vostra nona non av fa la pulenta tüte le smane?,Lombardia,Monza e della Brianza,Lissone
Ma ma la toa nona la fa minga tut i settiman la polenta ?,Lombardia,Monza e della Brianza,Macherio
Non saprei,Lombardia,Monza e della Brianza,Misinto
Ma vostra nona la fa minga la polenta tut i setiman,Lombardia,Monza e della Brianza,Monza
Ma vostra nona nun v'al fa la pulenta tutc le semane?,Lombardia,Monza e della Brianza,Monza
Non lo so,Lombardia,Monza e della Brianza,Monza
Ma la vostra nona la fa minga la pulenta tucc i setiman,Lombardia,Monza e della Brianza,Sovico
Ma la vosa nona av fa no la pulenta tuti i sman?,Lombardia,Pavia,Dorno
Ma la vosta nona av la fà mia la pulenta tücc i sman,Lombardia,Pavia,Gravellona Lomellina
Ma vostra nona a vla fa no la polenta tutti i sman?,Lombardia,Pavia,Mede
Ma vostra nona la fa no la polenta tut le semane?,Lombardia,Pavia,Mezzanino
Ma la tua nona la fa minga la pulenta tüt i setiman,Lombardia,Pavia,Miradolo Terme
Ma la vostra nona la va fa no la pulenta tütt i sman,Lombardia,Pavia,Pavia
Ma la nona av fa no la pulenta tuti sman?,Lombardia,Pavia,Pavia
Ma la vossa nona av la fa no la pulenta tuti i sman?,Lombardia,Pavia,Pavia
Ma vosa nona lav fa no la pulenta tüt i setimàn?,Lombardia,Pavia,Pavia
Ma vosa nona la fa no la pulenta tüt i sman?,Lombardia,Pavia,Pavia
Ma vustra nona ag fa no la pulenta tut i sman?,Lombardia,Pavia,Pavia
ma la vosa nòna la fa minga la pulenta tuti i satman,Lombardia,Pavia,Pavia
ma la vosa nona vla fa no la pulenta tuti i smani?,Lombardia,Pavia,Pavia
ma tu nona non ve fa la pulenta tüte le setiman?,Lombardia,Pavia,Pavia
Ma vostra nuna ve la fa mia la polenta tute le settimane,Lombardia,Pavia,Pavia
ma la vostra nonna fa no la pulenta tu' i seman?,Lombardia,Pavia,Pavia
Vosa mamagranda vlà fà no la pulenta tüch i seman?,Lombardia,Pavia,Pavia
Ma la vosa nona v'la fa no la pulenta tuc 'i smani?,Lombardia,Pavia,Robbio
Må lå vòså nònå åv lå fa nò lå puléntå tüti i smånn?,Lombardia,Pavia,Sannazzaro de' Burgondi
Ma vosa nona av la fa no la pulenta tuti i sman,Lombardia,Pavia,Sannazzaro de' Burgondi
Ma la vosa nona av vla fa no la pulenta tüti i smæn?,Lombardia,Pavia,Sannazzaro de' Burgondi
Ma lå vòså nònå åv lå fà nò lå pulentå tüti i smån?,Lombardia,Pavia,Sannazzaro de' Burgondi
Vosa nona av la fa no l pulenta tuti i sman,Lombardia,Pavia,Sannazzaro de' Burgondi
Ma vosa nona av fa no fa la polenta tut I sman?,Lombardia,Pavia,Sannazzaro de' Burgondi
"Ma là tö nönà, at fà mìa nò la pulenta tüt ì smàn?",Lombardia,Pavia,Stradella
Ma a vostra nanna non v'è fa a polenta tutte e settimane?,Lombardia,Pavia,Vigevano
Ma vustra nonna non ve fa la pulenta tutt le settiman,Lombardia,Pavia,Vigevano
"""Må vòså nònå åv lå fà nò lå puléntå tüti i smånå?""",Lombardia,Pavia,Voghera
To nona t'la fa no la pulenta tüt i sman? ,Lombardia,Pavia,Voghera
Ma la osa nona laf fa miga la pulènta tuti li setimani?,Lombardia,Sondrio,Aprica
Ma la cosa nona la va la fa miga la polenta tuti li stemani,Lombardia,Sondrio,Grosotto
Ma la votra nona la fa miga la pulenta tutch i semani?,Lombardia,Sondrio,Grosotto
Ma la vostra nona la ve fa miga la pulenta tuc i stemani?,Lombardia,Sondrio,Montagna in Valtellina
Ma la vòsa nòna ve la fà miga scià la pulénta tüc' i setemàni?,Lombardia,Sondrio,Piateda
Ma la vostra nona ve la fa miga la pulenta tuc le setimane?,Lombardia,Sondrio,Samolaco
Ma la vosa nona l'a fa scia la polenta tuc i setimani?,Lombardia,Sondrio,Sondrio
.,Lombardia,Sondrio,Tirano
ma la vosa nona la ve prepara miga la pulenta tuch i di?,Lombardia,Sondrio,Tirano
Ma la cosa ava la valà fa miga la pulenta tuti le stemani?ni?i,Lombardia,Sondrio,Tirano
la nonna non ve la prepara minga la polenta tuc le setiman?,Lombardia,Sondrio,Traona
Ma la vòsa mama granda la ve fè brik ó la pulenta tota li štemana?,Lombardia,Sondrio,Valfurva
Ma la to nona te fa mia la pulenta tutt i setiman? ,Lombardia,Varese,Besozzo
Ma la vostra nona non ve fa mia la pulenta tuch i seman,Lombardia,Varese,Busto Arsizio
non lo so ,Lombardia,Varese,Busto Arsizio
Be ma la nonna non ve fa a polenta tu'i setiman?,Lombardia,Varese,Busto Arsizio
Ma to nona non te che fa la pulenta tutte le settimane ,Lombardia,Varese,Castiglione Olona
Ma la voestra nona la fa no la polenta tücc i settiman?,Lombardia,Varese,Cittiglio
Ma vostra nonna no Ve fa menga la polenta tutte le settimane ,Lombardia,Varese,Gallarate
Ma vostra nonna vi fa la polenta ogni settimana,Lombardia,Varese,Gallarate
Ma tua nonna non ve fa la polenta tutte le settimane,Lombardia,Varese,Gallarate
ma la tu nona ve fa mia la pulenta tuch i di,Lombardia,Varese,Induno Olona
Bo,Lombardia,Varese,Jerago con Orago
     x ,Lombardia,Varese,Malnate
Ma la tò nuna la te fa minga la polenta tüt i settman?,Lombardia,Varese,Marzio
Ma la vostra nona va fa no la polenta tüt i setiman?,Lombardia,Varese,Mornago
Ma vostra nona no ve a fa ea poenta tuti i jorni ,Lombardia,Varese,Saronno
Ea vo nona no ve fe ea poenta tute e setiman? ,Lombardia,Varese,Tradate
Ma vostra nonna non ve la fa la polenta,Lombardia,Varese,Tradate
Ma la vostra nona la fa mia la pulenta tuch i setimane,Lombardia,Varese,Varese
ma vostra nonna ve la fa la polenta tüt i settiman,Lombardia,Varese,Varese
Ma tu noni ntilfà il polenti tut le seszmani?,Lombardia,Varese,Varese
Ma la to nona non te la fa la polenta tuti i dí?,Lombardia,Varese,Venegono Superiore
j,Piemonte,Alessandria,Acqui Terme
To nona la fa nenta la pulenta tot al smaini?,Piemonte,Alessandria,Alessandria
ma vostra nona la fa nen la pulenta tut el smonni?,Piemonte,Alessandria,Alessandria
Vostra nona la fa nen la pulenta tüti 'l setimanj,Piemonte,Alessandria,Casale Monferrato
non so scriverlo,Piemonte,Alessandria,Cassinelle
.,Piemonte,Alessandria,Castellazzo Bormida
vustra nona nun v f la pulenta tut le semane,Piemonte,Alessandria,Castelnuovo Scrivia
Non so,Piemonte,Alessandria,Novi Ligure
Ta nona a tla fa la pulenta tut le smanni,Piemonte,Alessandria,Valenza
To nona la fa nen la pulenta tutti i smanni?,Piemonte,Alessandria,Villanova Monferrato
Ma vosta nuna nun ve fa la pulent tute le smane?,Piemonte,Asti,Asti
Ma vostra nona av la fa nen la pulenta tute le smane,Piemonte,Asti,Asti
Ma volej nòna nen ve fa la polenta tute le semain ,Piemonte,Asti,Asti
Ma te nona al fa nen la pulenta tut le sman-e?,Piemonte,Asti,Asti
Vostra nona a fa ben la polenta tute esmane,Piemonte,Asti,Canelli
Me nona a Vue nen fe a pulente tut a smane,Piemonte,Asti,Castell'Alfero
Ma to nona a fa' nen la polenta tut le smane,Piemonte,Asti,Castell'Alfero
"La to nona v' la fa nen la pulenta tute 'e sma""ne?",Piemonte,Asti,Costigliole d'Asti
Ma vostra nona av la fa nenta la pulenta tute el smane?,Piemonte,Asti,Monastero Bormida
Ma vostra nona av la fa nenta la pulenta tüte el sman-ne?,Piemonte,Asti,Monastero Bormida
Ma vostra nona lav'fa nenta la pulenta tute 'l smaine?,Piemonte,Asti,Monastero Bormida
Ma vosta nona a fa nenta la pulenta tüte le smane?,Piemonte,Asti,Nizza Monferrato
Ma vòstra nona fa nen la pulenta tute ël smane? ,Piemonte,Asti,Vigliano d'Asti
Ma voscia nonna a fa nen la pulenta tute i asmanne!!!!,Piemonte,Biella,Biella
Ma tu nona al fa nen la pulenta tute le smane?,Piemonte,Biella,Biella
...,Piemonte,Biella,Biella
“vostra nonna non v'la fa la pulenta tut le semane?”,Piemonte,Cuneo,Alba
Ma vosta nona v' la fa nen la pulenta tute le smane?,Piemonte,Cuneo,Borgo San Dalmazzo
Tua nona la fa nen la pulenta tüte le smane?,Piemonte,Cuneo,Boves
Ma vosta nona fa nen la polenta tute le smane?,Piemonte,Cuneo,Boves
Ma vëstra nona nen vë preparé a pulenta tüte le semane?,Piemonte,Cuneo,Bra
ma voss nona pa ve la fé la beda tüte le smane?,Piemonte,Cuneo,Bra
Ma vosta nona v'fa nen a pulenta tute le smane?,Piemonte,Cuneo,Bra
Ma vostra nona v'la fa nen la pulenta tüte le smane?,Piemonte,Cuneo,Busca
Ma voustra nona la fa nen la pulenta tute le smane ?,Piemonte,Cuneo,Busca
Ma tua nona fa nen la pulenta ogni smana?,Piemonte,Cuneo,Busca
Vostra nuna Ve la fa pas la pulenta ,Piemonte,Cuneo,Castelletto Stura
Di ma tua nona fa nen la pulenta tutï i smane?,Piemonte,Cuneo,Cervasca
Vostr nona a fa nen la pulenta tute e smane?,Piemonte,Cuneo,Cherasco
Ma tua nona la fa nen la pulenta tute le smane,Piemonte,Cuneo,Costigliole Saluzzo
Ma vòstra nòna a ve prepara nen la polenta tute le smane?,Piemonte,Cuneo,Cuneo
Ma la vouòstro nono ve fai ren la poulento toùtos les semànos? (Oc) / Ma vòsta nòna ve fa nen la polenta tute le smane? (Piem),Piemonte,Cuneo,Cuneo
Ma vustra nuna nun ve fà 'a polenta tute le smane?,Piemonte,Cuneo,Cuneo
vostra nona non fa la pulenta tut le settimane ,Piemonte,Cuneo,Cuneo
Ma vostra nonna a ve la fa mai la polenta tute le smane?,Piemonte,Cuneo,Cuneo
Ma vòstra nona ve fai pas/nin la polenta totelas las semanes,Piemonte,Cuneo,Dronero
